kd_nr,firmenname,branche,ort,vk_id,zahlziel,kreditlimit,angelegt
85,Hanse AG 85,Retail,München,,45T,62500,2023-11-11
86,Rhein AG 86,Software,Köln,15,60T,63000,2023-11-14
87,Main AG 87,Logistics,Berlin,16,45T,63500,2023-11-17
88,Elbe AG 88,Healthcare,Stuttgart,17,45T,64000,2023-11-20
89,Donau AG 89,Energy,Leipzig,18,60T,64500,2023-11-23
90,Nordwerk AG 90,Chemicals,Frankfurt,1,45T,65000,2023-11-26
91,Südhandel AG 91,Manufacturing,Hamburg,2,30T,65500,2023-11-29
92,Westlog AG 92,Retail,München,3,60T,66000,2023-12-02
93,Ostbau AG 93,Software,Köln,,30T,66500,2023-12-05
94,Alpin AG 94,Logistics,Berlin,5,45T,67000,2023-12-08
95,Hanse AG 95,Healthcare,Stuttgart,6,14T,67500,2023-12-11
96,Rhein AG 96,Energy,Leipzig,7,30T,68000,2023-12-14
97,Main AG 97,Chemicals,Frankfurt,8,30T,68500,2023-12-17
98,Elbe AG 98,Manufacturing,Hamburg,9,30T,69000,2023-12-20
99,Donau AG 99,Retail,München,10,60T,69500,2023-12-23
100,Nordwerk AG 100,Software,Köln,11,14T,70000,2023-12-26
101,Südhandel AG 101,Logistics,Berlin,12,14T,70500,2023-12-29
102,Westlog AG 102,Healthcare,Stuttgart,13,30T,71000,2024-01-01
103,Ostbau AG 103,Energy,Leipzig,14,60T,71500,2024-01-04
104,Alpin AG 104,Chemicals,Frankfurt,15,30T,72000,2024-01-07
105,Hanse AG 105,Manufacturing,Hamburg,16,45T,72500,2024-01-10
106,Rhein AG 106,Retail,München,17,14T,73000,2024-01-13
107,Main AG 107,Software,Köln,18,30T,73500,2024-01-16
108,Elbe AG 108,Logistics,Berlin,1,30T,74000,2024-01-19
109,Donau AG 109,Healthcare,Stuttgart,2,30T,74500,2024-01-22
110,Nordwerk AG 110,Energy,Leipzig,3,45T,75000,2024-01-25
111,Südhandel AG 111,Chemicals,Frankfurt,4,60T,75500,2024-01-28
112,Westlog AG 112,Manufacturing,Hamburg,5,60T,76000,2024-01-31
113,Ostbau AG 113,Retail,München,6,14T,76500,2024-02-03
114,Alpin AG 114,Software,Köln,7,30T,77000,2024-02-06
115,Hanse AG 115,Logistics,Berlin,8,45T,77500,2024-02-09
116,Rhein AG 116,Healthcare,Stuttgart,9,14T,78000,2024-02-12
117,Main AG 117,Energy,Leipzig,10,60T,78500,2024-02-15
118,Elbe AG 118,Chemicals,Frankfurt,11,30T,79000,2024-02-18
119,Donau AG 119,Manufacturing,Hamburg,12,30T,79500,2024-02-21
120,Nordwerk AG 120,Retail,München,13,30T,80000,2024-02-24
121,Südhandel AG 121,Software,Köln,14,45T,80500,2024-02-27
122,Westlog AG 122,Logistics,Berlin,15,45T,81000,2024-03-01
123,Ostbau AG 123,Healthcare,Stuttgart,16,14T,81500,2024-03-04
124,Alpin AG 124,Energy,Leipzig,17,30T,82000,2024-03-07
125,Hanse AG 125,Chemicals,Frankfurt,18,30T,82500,2024-03-10
126,Rhein AG 126,Manufacturing,Hamburg,1,60T,83000,2024-03-13
127,Main AG 127,Retail,München,2,30T,83500,2024-03-16
128,Elbe AG 128,Software,Köln,3,14T,84000,2024-03-19
129,Donau AG 129,Logistics,Berlin,4,14T,84500,2024-03-22
130,Nordwerk AG 130,Healthcare,Stuttgart,5,14T,85000,2024-03-25
131,Südhandel AG 131,Energy,Leipzig,6,14T,85500,2024-03-28
132,Westlog AG 132,Chemicals,Frankfurt,7,30T,86000,2024-03-31
133,Ostbau AG 133,Manufacturing,Hamburg,8,14T,86500,2024-04-03
134,Alpin AG 134,Retail,München,9,45T,87000,2024-04-06
135,Hanse AG 135,Software,Köln,10,14T,87500,2024-04-09
136,Rhein AG 136,Logistics,Berlin,11,30T,88000,2024-04-12
137,Main AG 137,Healthcare,Stuttgart,12,45T,88500,2024-04-15
138,Elbe AG 138,Energy,Leipzig,13,30T,89000,2024-04-18
139,Donau AG 139,Chemicals,Frankfurt,14,60T,89500,2024-04-21
140,Nordwerk AG 140,Manufacturing,Hamburg,15,45T,90000,2024-04-24
141,Südhandel AG 141,Retail,München,,60T,90500,2024-04-27
142,Westlog AG 142,Software,Köln,17,60T,91000,2024-04-30
143,Ostbau AG 143,Logistics,Berlin,18,30T,91500,2024-05-03
144,Alpin AG 144,Healthcare,Stuttgart,1,45T,92000,2024-05-06
145,Hanse AG 145,Energy,Leipzig,2,60T,92500,2024-05-09
146,Rhein AG 146,Chemicals,Frankfurt,3,60T,93000,2024-05-12
147,Main AG 147,Manufacturing,Hamburg,4,14T,93500,2024-05-15
148,Elbe AG 148,Retail,München,5,14T,94000,2024-05-18
149,Donau AG 149,Software,Köln,6,60T,94500,2024-05-21
150,Nordwerk AG 150,Logistics,Berlin,,14T,95000,2024-05-24
